prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source,source_row,esito_revisione,livello_verifica,nome_recuperato,search_query_revisionata,nome_abbinato,marchio_abbinato,url_parfumo_abbinato,nome_proposto,marchio_proposto,url_proposto,motivazione_revisione,fonti_revisione,numero_candidati,data_revisione
5107,2839-JUL,2839-JUL N,AR607,AR,POWDER LOVE,Niche Perfumes,15.0,"2839-JUL Inspired by the fragrance notes of POWDER LOVE. Unisex perfume with powdery, gourmand, sweet, musky and soft floral notes.",https://leparfum.com.gr/en/niche-perfumes/2839-jul-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,11,match corretto,corrispondenza testuale su candidati originali,,POWDER LOVE,Powder-love,Juliette Has a Gun,https://www.parfumo.com/Perfumes/Juliette_Has_a_Gun/powder-love,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi JUL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2839-jul-n | https://www.parfumo.com/Perfumes/Juliette_Has_a_Gun/powder-love,3,2026-09-03
5106,2838-JIM,2838-JIM W,WP880,WP,I WANT CHOO WITH LOVE,Fragrances For Women,9.0,"2838-JIM Inspired by the fragrance notes of I WANT CHOO WITH LOVE. Women's perfume with floral, fruity, sweet, rosy and musky notes.",https://leparfum.com.gr/en/fragrances-for-women/2838-jim-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,12,match corretto,corrispondenza testuale su candidati originali,,I WANT CHOO WITH LOVE,I-want-choo-with-love-1,Jimmy Choo,https://www.parfumo.com/Perfumes/Jimmy_Choo/i-want-choo-with-love-1,,,,Unico candidato e nome coincidente dopo normalizzazione di accenti e punteggiatura. Identità confrontata sui campi disponibili; Non verificata online per questa riga.,https://leparfum.com.gr/en/fragrances-for-women/2838-jim-w | https://www.parfumo.com/Perfumes/Jimmy_Choo/i-want-choo-with-love-1,1,2026-09-03
5105,2837-GUL,2837-GUL MP,MP404,MP,SCANDAL POUR HOMME ELIXIR,Fragrances For Men,9.0,"2837-GUL Inspired by the fragrance notes of SCANDAL POUR HOMME ELIXIR. Men's perfume with fruity, sweet, woody, aromatic and warm spicy notes.",https://leparfum.com.gr/en/fragrances-for-men/2837-gul-mp,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,13,match corretto,corrispondenza testuale su candidati originali,,SCANDAL POUR HOMME ELIXIR,Scandal-pour-homme-elixir,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/scandal-pour-homme-elixir,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi GUL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/fragrances-for-men/2837-gul-mp | https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/scandal-pour-homme-elixir,1,2026-09-03
5104,2836-FRA,2836-FRA N,AR606,AR,MADNESS,Niche Perfumes,15.0,"2836-FRA Inspired by the fragrance notes of MADNESS. Unisex perfume with gourmand, coconut, vanilla, woody and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2836-fra-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,14,match corretto,corrispondenza testuale su candidati originali,,MADNESS,Madness,Franck Boclet,https://www.parfumo.com/Perfumes/Franck_Boclet/madness,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi FRA. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2836-fra-n | https://www.parfumo.com/Perfumes/Franck_Boclet/madness,10,2026-09-03
5103,2835-BORN,2835-BORN N,AR605,AR,PURPLE STAIN,Niche Perfumes,15.0,"2835-BORN Inspired by the fragrance notes of PURPLE STAIN. Unisex perfume with warm spicy, sweet, woody, balsamic and oud notes.",https://leparfum.com.gr/en/niche-perfumes/2835-born-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,15,match corretto,corrispondenza testuale su candidati originali,,PURPLE STAIN,Purple-stain,borntostandout,https://www.parfumo.com/Perfumes/borntostandout/purple-stain,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi BORN. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2835-born-n | https://www.parfumo.com/Perfumes/borntostandout/purple-stain,2,2026-09-03
5102,2834-AMG,2834-AMG N,AR604,AR,SINDBAD,Niche Perfumes,15.0,"2834-AMG Inspired by the fragrance notes of SINDBAD. Unisex perfume with woody, spicy, fruity, sweet and gourmand notes.",https://leparfum.com.gr/en/niche-perfumes/2834-amg-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,16,match corretto,verifica mirata delle fonti,,SINDBAD,Elsewhere / Sindbad,Amouage,https://www.parfumo.com/Perfumes/Amouage/elsewhere-sindbad,,,,Parfumo riporta esplicitamente Sindbad come denominazione alternativa di Elsewhere.,https://leparfum.com.gr/en/niche-perfumes/2834-amg-n | https://www.parfumo.com/Perfumes/Amouage/elsewhere-sindbad,1,2026-09-03
5101,2833-AMG,2833-AMG N,AR603,AR,MEANDER,Niche Perfumes,15.0,"2833-AMG Inspired by the fragrance notes of MEANDER. Unisex perfume with woody, powdery, earthy, spicy and balsamic notes. A refined and enveloping scent, admired for its creamy woods and elegant incense character.",https://leparfum.com.gr/en/niche-perfumes/2833-amg-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,17,match corretto,corrispondenza testuale su candidati originali,,MEANDER,Meander,Amouage,https://www.parfumo.com/Perfumes/Amouage/meander,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi AMG. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2833-amg-n | https://www.parfumo.com/Perfumes/Amouage/meander,2,2026-09-03
5099,2832-ZAD,2832-ZAD W,WP879,WP,Zadig Eau de Parfum,Fragrances For Women,9.0,"2832-ZAD W Inspired by the fragrance notes of Zadig Eau de Parfum. Women's perfume white floral, vanilla, citrus, fresh spicy, powdery, woody, sweet, fresh, warm spicy, soapy.",https://leparfum.com.gr/en/fragrances-for-women/2832-zad-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,18,match corretto,verifica web: Dupescan codice esatto,,Zadig Eau de Parfum,Zadig Eau de Parfum,Zadig & Voltaire,,,,,Match confermato tramite tabella Dupescan Shobi→originale con codice Shobi esatto.,https://leparfum.com.gr/en/fragrances-for-women/2832-zad-w | https://www.parfumo.com/Perfumes/Zadig__Voltaire/zadig | https://www.parfumo.com/Perfumes/Zadig__Voltaire/this-is-us | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_is_Him | https://www.parfumo.com/Perfumes/Zadig__Voltaire/this-is-him-undressed | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_Is_Him_No_Rules | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_Is_Her_No_Rules | https://dupescan.it/brand-dupe/shobi-perfumery/,10,2026-09-03
5098,2831-GISS,2831-GISS,EL471,EL,Martinique Osmanthus Gissah 2025,Elegants Fragrances,10.0,"2831-GISS Inspired by the fragrance notes of Martinique Osmanthus Gissah 2025. Unisex perfume fruity, floral, caramel, white floral, almond, sweet, nutty, lactonic, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Martinique_Osmanthus_Gissah_inspired,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,19,match corretto,revisione precedente conservata,,Martinique Osmanthus Gissah 2025,Martinique-osmanthus-eau-de-parfum-,gissah,https://www.parfumo.com/Perfumes/gissah/martinique-osmanthus-eau-de-parfum-2025,,,,"Nome e marchio coincidono. candidate_name è troncato, ma candidate_url include esplicitamente eau-de-parfum-2025, coerente con la ricerca. Confronto: «Martinique Osmanthus Gissah 2025» / «Martinique-osmanthus-eau-de-parfum-» (gissah).",https://leparfum.com.gr/en/elegants-fragrances/Martinique_Osmanthus_Gissah_inspired | https://www.parfumo.com/Perfumes/gissah/martinique-osmanthus-eau-de-parfum-2025,1,2026-09-03
5097,2830-VAL,2830-VAL,EL470,EL,Sogno In Rosso,Elegants Fragrances,10.0,"2830-VAL Inspired by the fragrance notes of Sogno In Rosso. Unisex perfume fresh spicy, lactonic, vanilla, woody, aromatic, amber, white floral, warm spicy, powdery, sweet.",https://leparfum.com.gr/en/elegants-fragrances/2830-val,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,20,match corretto,corrispondenza testuale su candidati originali,,Sogno In Rosso,Sogno-in-rosso,Valentino,https://www.parfumo.com/Perfumes/Valentino/sogno-in-rosso,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi VAL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/elegants-fragrances/2830-val | https://www.parfumo.com/Perfumes/Valentino/sogno-in-rosso,1,2026-09-03
5096,2829-PARF,2829-PARF N,AR602,AR,Athénaïs,Niche Perfumes,15.0,"2829-PARF N Inspired by the fragrance notes of Athénaïs. Women's perfume white floral, citrus, vanilla, sweet, floral, amber, fresh spicy.",https://leparfum.com.gr/en/niche-perfumes/2829-parf-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,21,match corretto,corrispondenza testuale su risultato web,,Athénaïs,Athénaïs,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/athenais,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi PARF. Associazione del codice desunta dalle altre righe del catalogo, Scheda recuperata tramite ricerca web.",https://leparfum.com.gr/en/niche-perfumes/2829-parf-n | https://www.parfumo.com/Perfumes/Parfums_de_Marly/athenais | https://www.parfumo.com/Perfumes/Parfums_de_Marly/Athalia | https://www.parfumo.com/Perfumes/house-of-james/athenais | https://www.parfumo.com/Perfumes/Parfums_de_Marly/Carlisle | https://www.parfumo.com/Perfumes/Parfums_de_Marly/haltane | https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair,9,2026-09-03
5095,2828-ATEL,2828-ATEL N,AR601,AR,Vanille Carbone Atelier Materi,Niche Perfumes,15.0,"2828-ATEL N Inspired by the fragrance notes of Vanille Carbone Atelier Materi. Unisex perfume vanilla, fresh spicy, amber, leather, soft spicy, warm spicy, powdery, sweet, balsamic, animalic.",https://leparfum.com.gr/en/niche-perfumes/Vanille_Carbone_fragrance,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,22,match corretto,corrispondenza testuale su candidati originali,,Vanille Carbone Atelier Materi,Vanille-carbone,atelier-materi,https://www.parfumo.com/Perfumes/atelier-materi/vanille-carbone,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi ATEL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/Vanille_Carbone_fragrance | https://www.parfumo.com/Perfumes/atelier-materi/vanille-carbone,1,2026-09-03
5094,2827-BYR,2827-BYR N,AR600,AR,Bal d'Afrique Absolu,Niche Perfumes,15.0,"2827-BYR N Inspired by the fragrance notes of Bal d'Afrique Absolu. Unisex perfume citrus, woody, aromatic, sweet, amber, fruity, powdery, animalic, musky.",https://leparfum.com.gr/en/niche-perfumes/absolu_perfumes,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,23,match corretto,verifica web mirata,,Bal d'Afrique Absolu,Bal d'Afrique Absolu de Parfum,Byredo,https://www.byredo.com/eu_it/p/bal-dafrique-absolu-de-parfum,,,,Match approvato dopo verifica mirata della denominazione e del marchio su fonte esterna autorevole.,https://leparfum.com.gr/en/niche-perfumes/absolu_perfumes | https://www.byredo.com/eu_it/p/bal-dafrique-absolu-de-parfum,1,2026-09-03
5093,2826-SOL,2826-SOL,EL469,EL,Cheirosa 91 Sol de Janeiro,Elegants Fragrances,10.0,"2826-SOL Inspired by the fragrance notes of Cheirosa 91 Sol de Janeiro. Women's perfume sweet, rose, tropical, floral, fruity, fresh, honey, amber, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Cheirosa_91_Sol_fragrances_type,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,24,match corretto,corrispondenza testuale su candidati originali,,Cheirosa 91 Sol de Janeiro,Cheirosa-91,Sol de Janeiro,https://www.parfumo.com/Perfumes/Sol_de_Janeiro/cheirosa-91,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi SOL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/elegants-fragrances/Cheirosa_91_Sol_fragrances_type | https://www.parfumo.com/Perfumes/Sol_de_Janeiro/cheirosa-91,1,2026-09-03
5092,2825-RARB,2825-RARB,EL468,EL,Rare Beauty,Elegants Fragrances,10.0,"2825-RARB Inspired by the fragrance notes of Rare Beauty. Unisex perfume vanilla, sweet, powdery, caramel, woody, musky, fresh spicy, cacao.",https://leparfum.com.gr/en/elegants-fragrances/rare_beauty_perfume_inspired,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,25,match corretto,verifica web: Dupescan codice esatto,,Rare Beauty,Rare,Rare Beauty,,,,,Match confermato tramite tabella Dupescan Shobi→originale con codice Shobi esatto.,https://leparfum.com.gr/en/elegants-fragrances/rare_beauty_perfume_inspired | https://dupescan.it/brand-dupe/shobi-perfumery/,10,2026-09-03
5091,2824-NRO,2824-NRO W,WP878,WP,Pure Musc Blanc For Her,Fragrances For Women,9.0,"2824-NRO W Inspired by the fragrance notes of Pure Musc Blanc For Her. Women's perfume white floral, fresh, musky, aldehydic, powdery, vanilla, animalic.",https://leparfum.com.gr/en/fragrances-for-women/musc_perfumes,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,26,match corretto,revisione precedente conservata,,Pure Musc Blanc For Her,For-her-pure-musc-blanc,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-pure-musc-blanc,,,,Nome e versione corrispondono; cambiano ordine delle parole o inclusione del marchio nel nome. Confronto: «Pure Musc Blanc For Her» / «For-her-pure-musc-blanc» (Narciso Rodriguez).,https://leparfum.com.gr/en/fragrances-for-women/musc_perfumes | https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-pure-musc-blanc,1,2026-09-03
5090,2823-KAY,2823-KAY,EL467,EL,Eden Plush Pear | 23 Kayali,Elegants Fragrances,10.0,"2823-KAY Inspired by the fragrance notes of Eden Plush Pear | 23 Kayali. Women's perfume white floral, fruity, floral, sweet, vanilla, fresh, woody, aquatic, citrus.",https://leparfum.com.gr/en/elegants-fragrances/Eden_Plush_Pear_parfum_type,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,27,match corretto,corrispondenza testuale su candidati originali,,Eden Plush Pear | 23 Kayali,Eden-plush-pear-23,Kayali,https://www.parfumo.com/Perfumes/Kayali/eden-plush-pear-23,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KAY. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/elegants-fragrances/Eden_Plush_Pear_parfum_type | https://www.parfumo.com/Perfumes/Kayali/eden-plush-pear-23,1,2026-09-03
5089,2822-DRC,2822-DRC W,WP877,WP,Addict Purple Glow Eau De Parfum,Fragrances For Women,9.0,"2822-DRC W Inspired by the fragrance notes of Addict Purple Glow Eau De Parfum. Women's perfume fruity, iris, sweet, powdery, violet, vanilla, earthy.",https://leparfum.com.gr/en/fragrances-for-women/eau_de_parfums,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,28,match corretto,verifica incrociata: fonte Shobi + Parfumo + codice marchio,,Addict Purple Glow Eau De Parfum,Addict Purple Glow Eau De Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/purple-glow,,,,"Match approvato nella revisione completa: nome/variante coerenti con la scheda Parfumo già presente nelle fonti e marchio coerente con il codice Shobi, ricavato da più abbinamenti già confermati dello stesso codice-marchio.",https://leparfum.com.gr/en/fragrances-for-women/eau_de_parfums | https://www.parfumo.com/Perfumes/Dior/purple-glow | https://www.parfumo.com/Perfumes/Dior/Dior_Addict | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Eau_de_Toilette | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2012 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Parfum,9,2026-09-03
