shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
2374-MICA,M. Micallef,GNTONIC,80353,https://www.fragrantica.com/p/80353,Current Fragrantica page
2334-ROJ,Roja Parfums,Manhattan,69553,https://www.fragrantica.com/p/69553,Current Fragrantica page
2336-THAM,Thameen,Carved Oud,49688,https://www.fragrantica.com/p/49688,Current Fragrantica page
2371-MATIE,Matiere Premiere,Vanilla Powder,84933,https://www.fragrantica.com/p/84933,Current Fragrantica page for original 2023 fragrance; distinct from 2025 extrait
2365-DIP,Diptyque,L'Eau Papier,78658,https://www.fragrantica.com/p/78658,Current Fragrantica page for 2023 Eau de Toilette
2368-ESC,Escada,Nectar de Costa Rica,88837,https://www.fragrantica.com/p/88837,Current Fragrantica page
1481-EON,Eon Productions,James Bond 007,15944,https://www.fragrantica.com/p/15944,Current Fragrantica page
2315-RAM,Ramon Monegal,Flamenco,44233,https://www.fragrantica.com/p/44233,Current Fragrantica page for Eau de Parfum; distinct from 2024 extrait
2323-MICA,M. Micallef,Vanille Fleur,14896,https://www.fragrantica.com/p/14896,Current Fragrantica page
2350-LOU,Christian Louboutin,Loubiraj,63440,https://www.fragrantica.com/p/63440,Current Fragrantica page
2272-TAU,Tauer Perfumes,Au Coeur du Désert,41053,https://www.fragrantica.com/p/41053,Current Fragrantica page
2346-TMFO,Tom Ford,Vanilla Sex,88588,https://www.fragrantica.com/p/88588,Current Fragrantica page
2311-YVRO,Yves Rocher,Plein Soleil,56457,https://www.fragrantica.com/p/56457,Current Fragrantica page; Shobi spelling Plain Soleil
2306-MASQ,Masque Milano,Tango,20693,https://www.fragrantica.com/p/20693,Current Fragrantica page
2296-KAY,Kayali Fragrances,Oudgasm Café Oud 19 Eau de Parfum Intense,85187,https://www.fragrantica.com/p/85187,Current Fragrantica page
2298-ELEC,Electimuss,Patchouli of the Underworld,72806,https://www.fragrantica.com/p/72806,Current Fragrantica page
2295-FLOR,Floraïku,One Umbrella for Two,46165,https://www.fragrantica.com/p/46165,Current Fragrantica page
2271-ROJ,Roja Dove,Elysium Pour Homme Eau Intense,81839,https://www.fragrantica.com/p/81839,Current Fragrantica page
2275-ROJ,Roja Dove,Burlington 1819,62320,https://www.fragrantica.com/p/62320,Current Fragrantica page
2270-ORMO,Ormonde Jayne,Montabaco,16896,https://www.fragrantica.com/p/16896,Current Fragrantica page for original Montabaco
2264-KAY,Kayali Fragrances,Oudgasm Tobacco Oud 04 Eau de Parfum Intense,85185,https://www.fragrantica.com/p/85185,Current Fragrantica page
1866-GUC,Gucci,Gucci Guilty Intense,13201,https://www.fragrantica.com/p/13201,Current Fragrantica page for women's 2011 fragrance
2259-GIV,Givenchy,Gentleman Eau de Parfum Reserve Privée,71272,https://www.fragrantica.com/p/71272,Current Fragrantica page
2251-JOVP,Jovoy Paris,Remember Me,49435,https://www.fragrantica.com/p/49435,Current Fragrantica page
2242-THESPD,The Spirit of Dubai,Turath,55003,https://www.fragrantica.com/p/55003,Current Fragrantica page
2234-MON,Moncler,Moncler pour Femme,69819,https://www.fragrantica.com/p/69819,Current Fragrantica page
2229-ESCE,Escentric Molecules,Molecule 01 + Patchouli,66049,https://www.fragrantica.com/p/66049,Current Fragrantica page
2228-ESCE,Escentric Molecules,Molecule 01 + Iris,66048,https://www.fragrantica.com/p/66048,Current Fragrantica page
2224-ARM,Giorgio Armani,Emporio Armani Diamonds,1292,https://www.fragrantica.com/p/1292,Current Fragrantica page for women's fragrance
2216-DOL,Dolce&Gabbana,Devotion,84951,https://www.fragrantica.com/p/84951,Current Fragrantica page for women's 2023 fragrance
2169-ROJ,Roja Dove,Ti Amo,34996,https://www.fragrantica.com/p/34996,Current Fragrantica page
2230-VAR,John Varvatos,Dark Rebel,31760,https://www.fragrantica.com/p/31760,Current Fragrantica page
2163-SNI,Snif,Dead Dinosaur,77309,https://www.fragrantica.com/p/77309,Current Fragrantica page
2202-ROJ,Roja Dove,Isola Blu,80177,https://www.fragrantica.com/p/80177,Current Fragrantica page
2164-LAT,Lattafa Perfumes,Khamrah,75805,https://www.fragrantica.com/p/75805,Current Fragrantica page
2198-MNT,Montale,Wood On Fire,71301,https://www.fragrantica.com/p/71301,Current Fragrantica page
2183-MIY,Miu Miu,Miu Miu Fleur de Lait,78755,https://www.fragrantica.com/p/78755,Current Fragrantica page
2178-MON,Moncler,Moncler pour Homme,69818,https://www.fragrantica.com/p/69818,Current Fragrantica page
2165-KAY,Kayali Fragrances,Vanilla Royale Sugared Patchouli 64 Eau De Parfum Intense,77430,https://www.fragrantica.com/p/77430,Current Fragrantica page
887-RCAV,Roberto Cavalli,Roberto Cavalli Acqua,17310,https://www.fragrantica.com/p/17310,Current Fragrantica page
2174-ZIE,Zielinski & Rozen,Vanilla Blend,65069,https://www.fragrantica.com/p/65069,Current Fragrantica page
1771-EMAN,Emanuel Ungaro,Desnuda,3612,https://www.fragrantica.com/p/3612,Current Fragrantica page
2175-ESCE,Escentric Molecules,Molecule 01 + Mandarin,66047,https://www.fragrantica.com/p/66047,Current Fragrantica page
412-BOD,The Body Shop,White Musk L'Eau,44100,https://www.fragrantica.com/p/44100,Current Fragrantica page
2059-NARC,Narcotica,Dulce Diablo,73265,https://www.fragrantica.com/p/73265,Current Fragrantica page
2149-ESC,Escada,Santorini Sunrise,78425,https://www.fragrantica.com/p/78425,Current Fragrantica page
2057-ESCE,Escentric Molecules,Molecule 01 + Black Tea,79414,https://www.fragrantica.com/p/79414,Current Fragrantica page
1875-ESCE,Escentric Molecules,Molecule 05,58969,https://www.fragrantica.com/p/58969,Current Fragrantica page
1863-LAC,Lacoste Fragrances,Lacoste Pour Femme,669,https://www.fragrantica.com/p/669,Current Fragrantica page
1860-NAS,Nasomatto,Absinth,4293,https://www.fragrantica.com/p/4293,Current Fragrantica page
1857-ESCE,Escentric Molecules,Escentric 05,58970,https://www.fragrantica.com/p/58970,Current Fragrantica page
1852-PRFRO,Profumum Roma,Battito d'Ali,11701,https://www.fragrantica.com/p/11701,Current Fragrantica page
1849-PRFRO,Profumum Roma,Acqua e Zucchero,3887,https://www.fragrantica.com/p/3887,Current Fragrantica page
1833-SALV,Salvador Dali,Dalimania,3923,https://www.fragrantica.com/p/3923,Current Fragrantica page
201-CLIV,Clive Christian,No. 1 for Men,4648,https://www.fragrantica.com/p/4648,Current Fragrantica page
1840-JOO,Joop!,All About Eve,660,https://www.fragrantica.com/p/660,Current Fragrantica page
1839-JOV,Jovoy Paris,Incident Diplomatique,44237,https://www.fragrantica.com/p/44237,Current Fragrantica page
1838-TAU,Tauer Perfumes,L'Air du Desert Marocain,4573,https://www.fragrantica.com/p/4573,Current Fragrantica page
1837-KEI,Keiko Mecheri,Loukhoum,2708,https://www.fragrantica.com/p/2708,Current Fragrantica page
1824-VAR,John Varvatos,Artisan,5534,https://www.fragrantica.com/p/5534,Current Fragrantica page
1819-MIC,Michael Kors,Midnight Shimmer,38989,https://www.fragrantica.com/p/38989,Current Fragrantica page
1814-AJMA,Ajmal,Mizyaan,15083,https://www.fragrantica.com/p/15083,Current Fragrantica page
1492-ABE,Abercrombie & Fitch,A&F Beacon,40775,https://www.fragrantica.com/p/40775,Current Fragrantica page
1794-ISS,Issey Miyake,L'Eau d'Issey Pure Nectar de Parfum,47780,https://www.fragrantica.com/p/47780,Current Fragrantica page
1784-ESC,Escada,Escada Summer Festival,64643,https://www.fragrantica.com/p/64643,Current Fragrantica page
1780-RCAV,Roberto Cavalli,Just Cavalli for Her,16760,https://www.fragrantica.com/p/16760,Current Fragrantica page for the 2013 women's fragrance
1765-JEN,Jennifer Lopez,Miami Glow,870,https://www.fragrantica.com/p/870,Original 2005 Fragrantica page
1736-PRFRO,Profumum Roma,Arso,11700,https://www.fragrantica.com/p/11700,Current Fragrantica page
1685-FRE,Frederic Malle,En Passant,2793,https://www.fragrantica.com/p/2793,Original fragrance page; not later limited edition
1656-LOC,L'Occitane en Provence,Terre de Lumiere,41970,https://www.fragrantica.com/p/41970,Original 2017 fragrance page
1660-ESCE,Escentric Molecules,Molecule 01,845,https://www.fragrantica.com/p/845,Current Fragrantica page
1616-MDI,Parfums MDCI,Invasion Barbare,5937,https://www.fragrantica.com/p/5937,Current Fragrantica page
1622-FRA,Franck Boclet,Cocaine,44128,https://www.fragrantica.com/p/44128,Current Fragrantica page
1557-FRE,Frederic Malle,Rose & Cuir,56516,https://www.fragrantica.com/p/56516,Current Fragrantica page
1535-BOA,Boadicea the Victorious,Blue Sapphire,18518,https://www.fragrantica.com/p/18518,Current Fragrantica page
1536-BOA,Boadicea the Victorious,Heroine,55770,https://www.fragrantica.com/p/55770,Current Fragrantica page
1488-LBI,Laura Biagiotti,Roma Uomo,629,https://www.fragrantica.com/p/629,Current Fragrantica page
1502-CHA,Chanel,Coco Mademoiselle L'Eau Privee,62194,https://www.fragrantica.com/p/62194,Current Fragrantica page
1522-ZAD,Zadig & Voltaire,This Is Us!,64313,https://www.fragrantica.com/p/64313,Current Fragrantica page
1528-KUR,Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait de Parfum,46066,https://www.fragrantica.com/p/46066,Canonical extrait page; not limited editions
1521-ZAD,Zadig & Voltaire,Girls Can Be Crazy,60794,https://www.fragrantica.com/p/60794,Current Fragrantica page
176-THAM,Thameen,Peregrina,59756,https://www.fragrantica.com/p/59756,Current Fragrantica page
169-ROJ,Roja Dove,Britannia,38675,https://www.fragrantica.com/p/38675,Plain Britannia fragrance page; not Jubilee Limited Edition
826-MIS,Missguided,Babe Power,45063,https://www.fragrantica.com/p/45063,Current Fragrantica page
1217-MONT,Montana,Montana Homme,2381,https://www.fragrantica.com/p/2381,Current Fragrantica page
609-ESC,Escada,Sentiment,1179,https://www.fragrantica.com/p/1179,Current Fragrantica page
125-JUL,Juliette Has A Gun,Liquid Illusion,51055,https://www.fragrantica.com/p/51055,Original 2018 fragrance page; distinct from 2026 release with same name
