shobi_code,shobi_name,suffix,override_brand,old_brand_hint,old_classification,override_classification,matched_corpus_brands,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
899-ROC,MADEMOISSELE - ROCHAS,ROC,Rochas,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
912-SHIS,ZEN,SHIS,Shiseido,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1116-ZEG,UOMO ABSOLUT - ERMENEGILDO ZEGNA,ZEG,Ermenegildo Zegna,Cremo,NO_CANDIDATE,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1121-GFE,FERRE MAN,GFE,Gianfranco Ferre,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1122-GFE,In the Mood for Love,GFE,Gianfranco Ferre,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1196-LAC,L.12.12 MAGNETIC,LAC,Lacoste,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,cos,,,,,,,,,,,,,,,,,,,,,,,,,
1197-LAC,LACOSTE HOMME,LAC,Lacoste,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,cos,,,,,,,,,,,,,,,,,,,,,,,,,
1781-LAC,TOUCH OF SUN,LAC,Lacoste,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,cos,,,,,,,,,,,,,,,,,,,,,,,,,
1784-ESC,Summer-festival-eau-de-toilette,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1885-WID,LONDON,WID,Widian,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1896-ESC,Cherry-in-japan,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-SHIS,Ginza (2021),SHIS,Shiseido,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-WID,GOLD II SAHARA - WIDIAN,WID,Widian,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-VERT,NARCOS'IS,VERT,Vertus,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2044-LORV,TEINT DE NEIGE,LORV,Lorenzo Villoresi,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2051-PRFRO,Acqua Di Sale,PRFRO,Profumum Roma,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2094-SHIS,Ever Bloom,SHIS,Shiseido,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2374-MICA,GN TONIC - MICALLEF,MICA,M Micallef,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2415-ESC,SEXY GRAFFITY - ESCADA,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2439-ZEG,INDONESIAN OUD,ZEG,Ermenegildo Zegna,Cremo,NO_CANDIDATE,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2697-RIT,Karma Rituals,RIT,Rituals,Avgerinos,NO_CANDIDATE,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2699-RIT,Ayurveda Rituals,RIT,Rituals,Avgerinos,NO_CANDIDATE,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
2773-RIT,The Rituals of Mehr,RIT,Rituals,Avgerinos,NO_CANDIDATE,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
