product_id,code,reference,category,price_eur,inspired_by,description_short,url,image_url,page
5104,2836-FRA N,AR606,Niche Perfumes,15,MADNESS,"2836-FRA Inspired by the fragrance notes of MADNESS. Unisex perfume with gourmand, coconut, vanilla, woody and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2836-fra-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75075-home_default/2836-fra-n.jpg,1
5103,2835-BORN N,AR605,Niche Perfumes,15,PURPLE STAIN,"2835-BORN Inspired by the fragrance notes of PURPLE STAIN. Unisex perfume with warm spicy, sweet, woody, balsamic and oud notes.",https://leparfum.com.gr/en/niche-perfumes/2835-born-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75057-home_default/2835-born-n.jpg,1
5102,2834-AMG N,AR604,Niche Perfumes,15,SINDBAD,"2834-AMG Inspired by the fragrance notes of SINDBAD. Unisex perfume with woody, spicy, fruity, sweet and gourmand notes.",https://leparfum.com.gr/en/niche-perfumes/2834-amg-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75039-home_default/2834-amg-n.jpg,1
5101,2833-AMG N,AR603,Niche Perfumes,15,MEANDER,"2833-AMG Inspired by the fragrance notes of MEANDER. Unisex perfume with woody, powdery, earthy, spicy and balsamic notes. A refined and enveloping scent, admired for its creamy woods and elegant incense character.",https://leparfum.com.gr/en/niche-perfumes/2833-amg-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75021-home_default/2833-amg-n.jpg,1
5099,2832-ZAD W,WP879,Fragrances For Women,9,Zadig Eau de Parfum,"2832-ZAD W Inspired by the fragrance notes of Zadig Eau de Parfum. Women's perfume white floral, vanilla, citrus, fresh spicy, powdery, woody, sweet, fresh, warm spicy, soapy.",https://leparfum.com.gr/en/fragrances-for-women/2832-zad-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75000-home_default/2832-zad-w.jpg,1
5098,2831-GISS,EL471,Elegants Fragrances,10,Martinique Osmanthus Gissah 2025,"2831-GISS Inspired by the fragrance notes of Martinique Osmanthus Gissah 2025. Unisex perfume fruity, floral, caramel, white floral, almond, sweet, nutty, lactonic, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Martinique_Osmanthus_Gissah_inspired#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74985-home_default/Martinique_Osmanthus_Gissah_inspired.jpg,1
5097,2830-VAL,EL470,Elegants Fragrances,10,Sogno In Rosso,"2830-VAL Inspired by the fragrance notes of Sogno In Rosso. Unisex perfume fresh spicy, lactonic, vanilla, woody, aromatic, amber, white floral, warm spicy, powdery, sweet.",https://leparfum.com.gr/en/elegants-fragrances/2830-val#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74968-home_default/2830-val.jpg,1
5096,2829-PARF N,AR602,Niche Perfumes,15,Athénaïs,"2829-PARF N Inspired by the fragrance notes of Athénaïs. Women's perfume white floral, citrus, vanilla, sweet, floral, amber, fresh spicy.",https://leparfum.com.gr/en/niche-perfumes/2829-parf-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74951-home_default/2829-parf-n.jpg,1
5095,2828-ATEL N,AR601,Niche Perfumes,15,Vanille Carbone Atelier Materi,"2828-ATEL N Inspired by the fragrance notes of Vanille Carbone Atelier Materi. Unisex perfume vanilla, fresh spicy, amber, leather, soft spicy, warm spicy, powdery, sweet, balsamic, animalic.",https://leparfum.com.gr/en/niche-perfumes/Vanille_Carbone_fragrance#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74933-home_default/Vanille_Carbone_fragrance.jpg,1
5094,2827-BYR N,AR600,Niche Perfumes,15,Bal d'Afrique Absolu,"2827-BYR N Inspired by the fragrance notes of Bal d'Afrique Absolu. Unisex perfume citrus, woody, aromatic, sweet, amber, fruity, powdery, animalic, musky.",https://leparfum.com.gr/en/niche-perfumes/absolu_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74915-home_default/absolu_perfumes.jpg,1
5093,2826-SOL,EL469,Elegants Fragrances,10,Cheirosa 91 Sol de Janeiro,"2826-SOL Inspired by the fragrance notes of Cheirosa 91 Sol de Janeiro. Women's perfume sweet, rose, tropical, floral, fruity, fresh, honey, amber, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Cheirosa_91_Sol_fragrances_type#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74897-home_default/Cheirosa_91_Sol_fragrances_type.jpg,2
5092,2825-RARB,EL468,Elegants Fragrances,10,Rare Beauty,"2825-RARB Inspired by the fragrance notes of Rare Beauty. Unisex perfume vanilla, sweet, powdery, caramel, woody, musky, fresh spicy, cacao.",https://leparfum.com.gr/en/elegants-fragrances/rare_beauty_perfume_inspired#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74880-home_default/rare_beauty_perfume_inspired.jpg,2
5091,2824-NRO W,WP878,Fragrances For Women,9,Pure Musc Blanc For Her,"2824-NRO W Inspired by the fragrance notes of Pure Musc Blanc For Her. Women's perfume white floral, fresh, musky, aldehydic, powdery, vanilla, animalic.",https://leparfum.com.gr/en/fragrances-for-women/musc_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74863-home_default/musc_perfumes.jpg,2
5090,2823-KAY,EL467,Elegants Fragrances,10,Eden Plush Pear | 23 Kayali,"2823-KAY Inspired by the fragrance notes of Eden Plush Pear | 23 Kayali. Women's perfume white floral, fruity, floral, sweet, vanilla, fresh, woody, aquatic, citrus.",https://leparfum.com.gr/en/elegants-fragrances/Eden_Plush_Pear_parfum_type#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74848-home_default/Eden_Plush_Pear_parfum_type.jpg,2
5089,2822-DRC W,WP877,Fragrances For Women,9,Addict Purple Glow Eau De Parfum,"2822-DRC W Inspired by the fragrance notes of Addict Purple Glow Eau De Parfum. Women's perfume fruity, iris, sweet, powdery, violet, vanilla, earthy.",https://leparfum.com.gr/en/fragrances-for-women/eau_de_parfums#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74831-home_default/eau_de_parfums.jpg,2
5088,2821-DRC W,WP876,Fragrances For Women,9,Addict Peachy Glow Eau de Parfum,"2821-DRC W Inspired by the fragrance notes of Addict Peachy Glow Eau de Parfum. Women's perfume vanilla, sweet, fruity, white floral, powdery, lactonic.",https://leparfum.com.gr/en/fragrances-for-women/peachy_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74816-home_default/peachy_perfumes.jpg,2
5087,2820-MIN N,AR599,Niche Perfumes,15,Queening Mind Games,"2820-MIN N Inspired by the fragrance notes of Queening Mind Games. Unisex perfume powdery, vanilla, coconut, iris, sweet, musky, fruity.",https://leparfum.com.gr/en/niche-perfumes/Queening_Mind_Games_inspired#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74801-home_default/Queening_Mind_Games_inspired.jpg,2
5086,2819-AKR,EL466,Elegants Fragrances,10,Awake Akro,"2819-AKR Inspired by the fragrance notes of Awake Akro. Unisex perfume warm spicy, coffee, aromatic, citrus, woody.",https://leparfum.com.gr/en/elegants-fragrances/akro_perfume_type#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74783-home_default/akro_perfume_type.jpg,2
5085,2818-SWISA N,AR598,Niche Perfumes,15,Shaghaf Oud Swiss Arabian,"2818-SWISA N Inspired by the fragrance notes of Shaghaf Oud Swiss Arabian. Unisex perfume sweet, oud, vanilla, rose, warm spicy, lactonic, nutty, metallic, powdery.",https://leparfum.com.gr/en/niche-perfumes/Swiss_Arabian_dupe#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74766-home_default/Swiss_Arabian_dupe.jpg,2
5084,2817-INI LUX,LUX041,Luxury Perfumes,20,Oud for Greatness Neo Initio Parfums,"2817-INI LUXInspired by the fragrance notes of Oud for Greatness Neo Initio Parfums. Unisex perfume fresh spicy, aromatic, oud, lavender, woody, citrus, warm spicy, conifer.",https://leparfum.com.gr/en/luxury-perfumes/oud_greatness_perfume#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74748-home_default/oud_greatness_perfume.jpg,2
5083,2816-MOOD,EL465,Elegants Fragrances,10,Blonde Maracuja Mood London,"2816-MOOD Inspired by the fragrance notes of Blonde Maracuja Mood London. Unisex perfume with Passion fruit, Peach, Green pear, Lily, Sandalwood, Vanilla, Patchouli.",https://leparfum.com.gr/en/elegants-fragrances/2816-mood#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74747-home_default/2816-mood.jpg,2
5082,2815-DOL W,WP875,Fragrances For Women,9,By for women,"2815-DOL W Inspired by the fragrance notes of By for women. Women's perfume powdery, woody, fresh spicy, lavender, musky, coffee, white floral, citrus.",https://leparfum.com.gr/en/fragrances-for-women/2815-dol-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74730-home_default/2815-dol-w.jpg,2
5081,2814-TMFO N,AR597,Niche Perfumes,15,Figue Erotique Tom Ford,"2814-TMFO N Inspired by the fragrance notes of Figue Erotique Tom Ford. Unisex perfume sweet, woody, green, fruity, yellow floral, citrus, fresh, soft spicy, salty.",https://leparfum.com.gr/en/niche-perfumes/erotique_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74715-home_default/erotique_perfumes.jpg,2
5080,2813-OMA N,AR596,Niche Perfumes,15,Caden Omanluxury,"2813-OMA N Inspired by the fragrance notes of Caden Omanluxury. Unisex perfume warm spicy, amber, vanilla, leather, woody, aromatic, powdery, musky, coffee, metallic.",https://leparfum.com.gr/en/niche-perfumes/oman_parfums#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74697-home_default/oman_parfums.jpg,2
5079,2812-ARM MP,MP403,Fragrances For Men,9,Stronger With You Powerfully,"2812-ARM MP Inspired by the fragrance notes of Stronger With You Powerfully. Men's perfume warm spicy, cherry, vanilla, amber, nutty, sweet, woody, balsamic, lavender, powdery.",https://leparfum.com.gr/en/fragrances-for-men/2812-arm-mp#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74679-home_default/2812-arm-mp.jpg,2
5078,2811-DRC MP,MP402,Fragrances For Men,9,Sauvage Rare Blend,"2811-DRC MP Inspired by the fragrance notes of Sauvage Rare Blend. Men's perfume amber, oud, vanilla, musky, balsamic, woody, sweet, powdery.",https://leparfum.com.gr/en/fragrances-for-men/2811-drc-mp#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74662-home_default/2811-drc-mp.jpg,2
5077,2810-MIN N,AR595,Niche Perfumes,15,Prodigy Mind Games,"2810-MIN N Inspired by the fragrance notes of Prodigy Mind Games. Unisex perfume rose, vanilla, woody, warm spicy, powdery, floral, patchouli, citrus.",https://leparfum.com.gr/en/niche-perfumes/prodigy_perfume#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74645-home_default/prodigy_perfume.jpg,2
5076,2809-AZZ MP,MP401,Fragrances For Men,9,Forever Wanted Elixir Azzaro,"2809-AZZ MP Inspired by the fragrance notes of Forever Wanted Elixir Azzaro. Men's perfume leather, fruity, sweet, aromatic, animalic, citrus, warm spicy, smoky, lavender.",https://leparfum.com.gr/en/fragrances-for-men/2809-azz-mp#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74627-home_default/2809-azz-mp.jpg,2
5075,2808-LES N,AR594,Niche Perfumes,15,Roasted Tangerine Les Liquides Imaginaires,"2808-LES N Inspired by the fragrance notes of Roasted Tangerine Les Liquides Imaginaires. Unisex perfume citrus, woody, warm spicy, fresh spicy, amber, oud.",https://leparfum.com.gr/en/niche-perfumes/2808-les-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74610-home_default/2808-les-n.jpg,2
5074,2807-VIRT N,AR593,Niche Perfumes,15,Buttercream Haze The 7 Virtues,"2807-VIRT N Inspired by the fragrance notes of Buttercream Haze The 7 Virtues. Unisex perfume woody, caramel, sweet, vanilla.",https://leparfum.com.gr/en/niche-perfumes/Buttercream_fragrance#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74592-home_default/Buttercream_fragrance.jpg,2
5073,2806-PHL N,AR592,Niche Perfumes,15,Afterglow Phlur,"2806-PHL N Inspired by the fragrance notes of Afterglow Phlur. Unisex perfume woody, amber, musky, lactonic, floral, powdery, sweet, coconut, balsamic.",https://leparfum.com.gr/en/niche-perfumes/2806-phl-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74574-home_default/2806-phl-n.jpg,2
5072,2805-MARG,EL464,Elegants Fragrances,10,Never-ending Summer Margiela,"2805-MARG Inspired by the fragrance notes of Never-ending Summer Margiela. Unisex perfume citrus, woody, fresh spicy, fresh, aromatic, warm spicy, green, earthy.",https://leparfum.com.gr/en/elegants-fragrances/summer_fragrances#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74556-home_default/summer_fragrances.jpg,2
5071,2804-BOYS,EL463,Elegants Fragrances,10,Coco Cream Boy Smells,"2804-BOYS Inspired by the fragrance notes of Coco Cream Boy Smells. Unisex perfume vanilla, coconut, white floral, sweet, musky, powdery, lactonic, tropical.",https://leparfum.com.gr/en/elegants-fragrances/coco_cream_fragrance#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74539-home_default/coco_cream_fragrance.jpg,2
5070,2803-AKR,EL462,Elegants Fragrances,10,Crush Akro,"2803-AKR Inspired by the fragrance notes of Crush Akro. Unisex perfume rose, sweet, fruity, almond, nutty, vanilla, floral, tropical, lactonic, fresh.",https://leparfum.com.gr/en/elegants-fragrances/dolce_profumo#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74522-home_default/dolce_profumo.jpg,2
5069,2802-HER MP,MP400,Fragrances For Men,9,Terre Intense for men,"2802-HER MP Inspired by the fragrance notes of Terre Intense for men. Perfume coffee, fresh spicy, warm spicy, woody, soft spicy, citrus, sweet, aromatic, anis, mineral.",https://leparfum.com.gr/en/fragrances-for-men/2802-her-mp#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74505-home_default/2802-her-mp.jpg,3
5068,2801-DON W,WP874,Fragrances For Women,9,Cashmere & Vanilla Essence,"2801-DON W Inspired by the fragrance notes of Cashmere & Vanilla Essence. Women's perfume vanilla, powdery, woody, violet, amber, soft spicy, fresh, sweet.",https://leparfum.com.gr/en/fragrances-for-women/Cashmere_parfum#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74488-home_default/Cashmere_parfum.jpg,3
5067,2800-ACQ N,AR591,Niche Perfumes,15,Buongiorno,"2800-ACQ N Inspired by the fragrance notes of Buongiorno. Unisex perfume fresh spicy, green, aromatic, citrus, fresh, woody, herbal, musky.",https://leparfum.com.gr/en/niche-perfumes/2800-acq-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74473-home_default/2800-acq-n.jpg,3
5066,2799-OBVI N,AR590,Niche Perfumes,15,Milk & Matcha Obvious,"2799-OBVI N Inspired by the fragrance notes of Milk & Matcha Obvious. Unisex perfume citrus, vanilla, green, powdery, sweet, aromatic, fresh spicy, white , loral, amber, fresh.",https://leparfum.com.gr/en/niche-perfumes/latte_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74455-home_default/latte_perfumes.jpg,3
5065,2798-NICO N,AR589,Niche Perfumes,15,Macaron Bourbon Nicolai Parfumeur Createur,"2798-NICO N Inspired by the fragrance notes of Macaron Bourbon Nicolai Parfumeur Createur. Unisex perfume rose, warm spicy, sweet, musky, almond, patchouli, fruity, woody, rum, vanilla.",https://leparfum.com.gr/en/niche-perfumes/macaron_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74437-home_default/macaron_perfumes.jpg,3
5064,2795-AMG N,AR588,Niche Perfumes,15,Jubilation 40 Man Amouage for men,"2795-AMG N Inspired by the fragrance notes of Jubilation 40 Man Amouage for men. Men's perfume amber, woody, fruity, warm spicy, balsamic, sweet, fresh spicy, aromatic, oud.",https://leparfum.com.gr/en/niche-perfumes/2795-amg-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74419-home_default/2795-amg-n.jpg,3
5063,2794-PAC W,WP873,Fragrances For Women,9,Lady Million Lucky,"2794-PAC W Inspired by the fragrance notes of Lady Million Lucky. Women's perfume woody, sweet, fruity, honey, rose, nutty, floral, white floral, powdery.",https://leparfum.com.gr/en/fragrances-for-women/2794-pac-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74401-home_default/2794-pac-w.jpg,3
5062,2793-FRAG N,AR587,Niche Perfumes,15,Oud Noir Intense Fragrance Du Bois,"2793-FRAG N Inspired by the fragrance notes of Oud Noir Intense Fragrance Du Bois. Unisex perfume warm spicy, oud, woody, powdery, musky, aromatic, patchouli, rose, citrus.",https://leparfum.com.gr/en/niche-perfumes/oud_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74386-home_default/oud_perfumes.jpg,3
5061,2792-AJMA N,AR586,Niche Perfumes,15,Musk Silk Ajmal,"2792-AJMA N Inspired by the fragrance notes of Musk Silk Ajmal. Unisex perfume powdery, white floral, amber, fresh, vanilla, green, sweet, warm spicy.",https://leparfum.com.gr/en/niche-perfumes/2792-ajma-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74368-home_default/2792-ajma-n.jpg,3
5060,2791-LTN N,AR585,Niche Perfumes,15,,"2791-LTN N Inspired by the fragrance notes of. Unisex perfume floral, fruity, white floral, fresh, sweet, rose.",https://leparfum.com.gr/en/niche-perfumes/2791-ltn-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74350-home_default/2791-ltn-n.jpg,3
5059,2790-KIL N,AR584,Niche Perfumes,15,Old Fashioned By Kilian,"2790-KIL N Inspired by the fragrance notes of Old Fashioned By Kilian. Unisex perfume amber, warm spicy, sweet, woody, herbal, powdery, balsamic, green, aromatic, nutty.",https://leparfum.com.gr/en/niche-perfumes/Old_Fashioned_perfum#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74332-home_default/Old_Fashioned_perfum.jpg,3
5058,2789-PEN N,AR583,Niche Perfumes,15,Fortuitous Finley Penhaligon's,"2789-PEN N Inspired by the fragrance notes of Fortuitous Finley Penhaligon's. Men's perfume warm spicy, green, woody, ozonic, salty, patchouli, powdery, aromatic, aquatic, leather.",https://leparfum.com.gr/en/niche-perfumes/2789-pen-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74314-home_default/2789-pen-n.jpg,3
5057,2606-ARM W,WP872,Fragrances For Women,9,Ocean di Gioia Giorgio Armani,"2606-ARM W Inspired by the fragrance notes of Ocean di Gioia Giorgio Armani. Women's perfume white floral, green, fresh, fruity, citrus, sweet, musky, aquatic, salty, powdery.",https://leparfum.com.gr/en/fragrances-for-women/ocean_perfumes#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74296-home_default/ocean_perfumes.jpg,3
5056,2788-MIN N,AR582,Niche Perfumes,15,French Defense Mind Games,"2788-MIN N Inspired by the fragrance notes of French Defense Mind Games. Unisex perfume cherry, amber, sweet, rose, woody, ozonic, powdery, floral.",https://leparfum.com.gr/en/niche-perfumes/2788-min-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74281-home_default/2788-min-n.jpg,3
5055,2787-KAJ N,AR581,Niche Perfumes,15,Lamar Kajal,"2787-KAJ N Inspired by the fragrance notes of Lamar Kajal. Unisex perfume fruity, sweet, fresh, rose, musky, woody, tropical, powdery, amber, floral.",https://leparfum.com.gr/en/niche-perfumes/Lamar_Kajal_perfume#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74263-home_default/Lamar_Kajal_perfume.jpg,3
5054,2786-LTN N,AR580,Niche Perfumes,15,,"2786-LTN N Inspired by the fragrance notes. Citrus, fresh spicy, green, aromatic, herbal, fresh, ozonic.",https://leparfum.com.gr/en/niche-perfumes/2786-ltn-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74245-home_default/2786-ltn-n.jpg,3
5053,2785-VAL W,WP871,Fragrances For Women,9,Born in Roma Extradose Donna Valentino,"2785-VAL W Inspired by the fragrance notes of Born in Roma Extradose Donna Valentino. Women's perfume vanilla, fruity, rum, woody, soft spicy, powdery, sweet.",https://leparfum.com.gr/en/fragrances-for-women/2785-val-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/74227-home_default/2785-val-w.jpg,3
